speed,steering_angle,pose,velocity,torque,noisy_speed,cones_hit,time
5.945798770285827,9.20119793251552,[-21.85536416 -38.68337015  -1.79766072],[-0.95233556 -6.16253518  0.62340867],-97.15291124475715,6.143941460422614,0,18.27777777777778
5.945798770285827,9.20119793251552,[-21.86560578 -38.75309641  -1.79056648],[-0.92174531 -6.27536336  0.63848186],36.879905098407434,6.163905442332548,0,18.288888888888888
5.945798770285827,9.20119793251552,[-21.87529949 -38.82271548  -1.7834562 ],[-0.87243382 -6.26571606  0.63992551],-5.69810275097033,6.109989206548111,0,18.3
6.260042542338309,10.663598478688593,[-21.88471466 -38.89418408  -1.7761415 ],[-0.84736586 -6.43217443  0.65832271],55.68904752406456,6.62326659805836,0,18.31111111111111
6.260042542338309,10.663598478688593,[-21.89326741 -38.9631401   -1.76906772],[-0.76974729 -6.20604156  0.63663998],-80.69845719382157,6.428741125063061,0,18.322222222222223
6.260042542338309,10.663598478688593,[-21.90141293 -39.03301318  -1.76188215],[-0.73309647 -6.2885777   0.64670169],26.733005209833458,6.276767787420617,0,18.333333333333332
6.212110784452176,9.36528151492458,[-21.90908622 -39.10340019  -1.75462529],[-0.69059681 -6.33483076  0.65311739],14.198560854417693,6.644411201477422,0,18.344444444444445
6.212110784452176,9.36528151492458,[-21.91604304 -39.17192781  -1.74755213],[-0.62611351 -6.1674861   0.63658475],-59.68346974299674,5.995454509653125,0,18.355555555555554
6.212110784452176,9.36528151492458,[-21.92280843 -39.24365302  -1.74014934],[-0.60888526 -6.45526847  0.66625084],98.1308479563307,6.823068087476575,0,18.366666666666667
5.689202624142108,10.14325078600457,[-21.92872047 -39.31168748  -1.73313531],[-0.53208355 -6.12310115  0.63126233],-116.4,6.412478725576228,0,18.377777777777776
5.689202624142108,10.14325078600457,[-21.93429577 -39.38148636  -1.72594716],[-0.5017769  -6.28189937  0.64693357],53.67111778561062,6.240292168396933,0,18.38888888888889
5.689202624142108,10.14325078600457,[-21.93941825 -39.45195513  -1.71869788],[-0.46102268 -6.34218976  0.65243565],19.650010057755964,6.6619240552450645,0,18.4
5.8546244206110964,9.437963049505681,[-21.94393455 -39.52095443  -1.71160729],[-0.40646765 -6.20993654  0.63815269],-46.76713607107427,6.241082638605722,0,18.41111111111111
5.8546244206110964,9.437963049505681,[-21.94807879 -39.59185588  -1.70433439],[-0.37298155 -6.38113028  0.65456089],58.17386087316995,6.492580642111764,0,18.42222222222222
5.8546244206110964,9.437963049505681,[-21.95164562 -39.66134945  -1.69722332],[-0.32101421 -6.25442178  0.63999688],-44.58486683947204,6.226333722291346,0,18.433333333333334
7.191583188115523,10.6829471991085,[-21.95489966 -39.734615    -1.68974832],[-0.29286399 -6.59389902  0.67275014],116.4,6.505604471854746,0,18.444444444444443
7.191583188115523,10.6829471991085,[-21.95757264 -39.8067347   -1.68240458],[-0.24056798 -6.49077368  0.66093657],-36.24540401881168,6.627627805205725,0,18.455555555555556
7.191583188115523,10.6829471991085,[-21.95970742 -39.87842519  -1.67511223],[-0.19213019 -6.45214402  0.65631066],-13.863526113957402,6.468002316080868,0,18.466666666666665
5.1222790965393825,13.677252048537664,[-21.96123546 -39.94637756  -1.66820201],[-0.13752417 -6.11571296  0.62192017],-116.4,6.109732041256973,0,18.477777777777778
5.1222790965393825,13.677252048537664,[-21.96229314 -40.01573059  -1.66112249],[-0.09519078 -6.24177304  0.63715684],43.162499367245836,6.268140435719242,0,18.488888888888887
5.1222790965393825,13.677252048537664,[-21.96280939 -40.08394368  -1.65410906],[-0.04646263 -6.13917736  0.63120884],-35.547997636796,5.917775803183171,0,18.5
5.245227078539037,13.155966538800765,[-21.96278987 -40.15419272  -1.64681401],[ 1.75725260e-03 -6.32241396e+00  6.56554417e-01],63.08992110785525,6.675941923759603,0,18.511111111111113
5.245227078539037,13.155966538800765,[-21.96222169 -40.22068662  -1.63982859],[ 0.05113601 -5.98445077  0.62868777],-116.4,6.040535704869726,0,18.522222222222222
5.245227078539037,13.155966538800765,[-21.9610712  -40.28994744  -1.6324591 ],[ 0.10354377 -6.23347422  0.66325416],86.04419767973936,5.817419578654711,0,18.533333333333335
7.035617258883422,10.078441248856729,[-21.95923573 -40.36294747  -1.62458548],[ 0.16519213 -6.57000268  0.70862616],116.4,6.280925864652321,0,18.544444444444444
7.035617258883422,10.078441248856729,[-21.9568272  -40.43388774  -1.61685052],[ 0.2167677  -6.38462407  0.69614635],-63.33642934258696,6.195629421529575,0,18.555555555555557
7.035617258883422,10.078441248856729,[-21.95379256 -40.50543162  -1.60898356],[ 0.27311771 -6.43894949  0.70802647],19.45017763902909,6.582654220204144,0,18.566666666666666
8.0,14.219182032436755,[-21.9499961  -40.5801172   -1.60071874],[ 0.34168174 -6.72170248  0.74383369],98.44327526154566,6.604832652026478,0,18.57777777777778
8.0,14.219182032436755,[-21.94550916 -40.65505239  -1.59235218],[ 0.4038242  -6.74416672  0.75298972],8.913991134108763,6.73001707292518,0,18.58888888888889
8.0,14.219182032436755,[-21.94034225 -40.72970149  -1.58392608],[ 0.46502248 -6.71841914  0.75834968],-7.496748437883619,6.8114496030359915,0,18.6
6.828023644717407,9.341075984982607,[-21.93476087 -40.80055699  -1.57582774],[ 0.50232366 -6.37699473  0.72884996],-116.4,6.724639466422344,0,18.61111111111111
6.828023644717407,9.341075984982607,[-21.92851692 -40.87178483  -1.56761615],[ 0.56195554 -6.41050568  0.73904369],13.213817525322984,6.38566733628319,0,18.622222222222224
6.828023644717407,9.341075984982607,[-21.92149069 -40.9446912   -1.55916562],[ 0.63236132 -6.56157345  0.76054697],54.06862058884402,6.372788935059913,0,18.633333333333333
5.519572263610406,9.703307030462629,[-21.91422892 -41.01380218  -1.55113408],[ 0.65355888 -6.21998771  0.7228391 ],-116.4,6.416823504471891,0,18.644444444444446
5.519572263610406,9.703307030462629,[-21.90647154 -41.08234857  -1.54316383],[ 0.69816463 -6.16917589  0.71732198],-15.740922449530679,6.257571938374637,0,18.655555555555555
